bin,count
0,1232
1,729
2,808
3,958
4,1183
5,1091
6,737
7,266
8,82
9,4
.,2391
total_canes,319
number_of_shoots,5858
cane_id,total,2,3,4,5,6,7,8,#shoots
98,528,188,265,330,382,418,448,476,72
99,564,193,274,345,400,442,478,507,75
100,447,158,220,272,316,354,380,403,64
101,405,144,204,256,298,330,350,369,60
102,527,197,279,347,393,426,452,477,79
103,616,207,298,369,424,468,505,542,69
104,533,181,264,335,385,421,449,477,65
105,679,223,322,408,477,536,578,614,84
106,386,147,206,249,279,303,325,346,59
107,466,168,232,284,327,361,390,416,65
108,459,170,240,294,332,362,387,411,66
109,517,173,247,311,360,393,424,455,61
110,452,150,216,268,310,343,371,398,52
111,645,227,319,399,462,507,543,577,88
112,620,204,292,366,430,479,519,553,73
113,627,206,297,378,446,496,532,565,77
114,519,192,275,346,402,435,458,479,79
115,491,168,237,295,344,384,415,441,63
116,520,186,257,323,370,407,441,468,71
117,626,214,310,387,451,502,536,566,79
118,587,211,297,369,425,469,504,533,83
119,642,220,318,405,467,513,546,578,83
120,650,206,299,378,446,496,535,574,69
121,575,204,293,375,439,479,510,533,87
122,586,207,294,371,431,473,506,534,82
123,671,217,316,407,483,546,587,617,86
124,604,203,294,373,433,474,510,542,73
125,516,185,264,332,381,419,447,470,76
126,662,205,293,373,446,500,547,586,68
127,635,206,299,378,444,494,532,567,72
128,632,202,291,371,438,490,531,566,72
129,610,214,299,371,431,478,514,548,81
130,543,184,262,327,380,422,455,485,67
131,637,222,316,395,456,508,544,575,85
132,580,186,264,333,389,433,471,508,62
133,530,175,250,317,372,409,441,472,62
134,651,200,288,365,437,493,537,577,67
135,625,199,283,360,427,482,522,557,68
136,583,210,296,372,431,474,505,531,84
137,617,217,301,373,427,474,514,549,84
138,684,222,315,395,468,528,577,614,79
139,628,207,295,371,436,487,529,564,79
140,620,207,295,376,438,487,527,560,81
141,612,188,273,350,418,475,516,552,66
142,821,255,370,475,565,644,699,741,91
143,581,194,276,345,403,448,486,519,71
144,468,173,246,307,355,385,407,428,71
145,727,243,342,429,504,558,601,643,86
146,505,186,260,322,369,403,431,457,75
147,650,218,313,392,456,505,543,580,77
148,868,245,357,458,543,618,682,744,65
149,679,214,300,375,438,492,541,587,68
150,674,214,305,386,454,508,552,594,72
151,803,262,377,484,565,622,668,713,91
152,566,212,299,369,424,463,491,516,90
153,517,187,264,323,366,397,427,457,70
154,642,223,319,394,452,500,536,572,81
155,664,234,335,422,488,533,568,600,88
156,640,231,322,396,455,497,534,570,85
157,637,222,319,406,475,523,556,583,86
158,760,238,348,443,523,582,630,674,79
159,601,197,281,354,411,455,493,529,66
160,719,240,346,429,496,549,594,637,83
